Station,Order,Year,All,Deaths,Male,Female,Day,Night,Line,Type,rX,rY,inx1,iny1,inx2,iny2,outx1,outy1,outx2,outy2,,,
Thane,1,2014,53,12,43,10,27,26,CR,Interchange,400,290,0,300,400,300,445,300,445,0,400,0,400
Mulund,2,2014,137,20,107,30,86,51,CR,Slow,660,290,490,300,660,300,750,300,750,300,660,0,660
Nahur,3,2014,22,1,16,6,16,6,CR,Slow,880,290,750,300,880,300,970,300,970,300,880,0,880
Bhandup,4,2014,47,3,41,6,32,15,CR,Fast,1320,290,970,300,1320,300,1410,300,1410,300,220,1100,1320
Kanjurmarg,5,2014,0,0,0,0,0,0,CR,Slow,1540,290,1410,300,1540,300,1630,300,1630,300,440,1100,1540
Vikhroli,6,2014,72,18,59,13,39,33,CR,Slow,1760,290,1630,300,1760,300,1850,300,1850,300,660,1100,1760
Ghatkopar,7,2014,137,16,113,24,82,55,CR,Fast,1980,290,1850,300,1980,300,2070,300,2070,300,880,1100,1980
Vidhyavihar,8,2014,1,1,1,0,1,0,CR,Slow,2420,290,2070,300,2420,300,2510,300,2510,300,220,2200,2420
Kurla,9,2014,301,14,245,56,199,102,CR,Interchange,2640,290,2510,300,2640,300,2730,300,2730,300,440,2200,2640
Sion,10,2014,41,14,35,6,27,14,CR,Slow,2860,290,2730,300,2860,300,2950,300,2950,300,660,2200,2860
Matunga,11,2014,0,0,0,0,0,0,CR,Slow,3080,290,2950,300,3080,300,3170,300,3170,300,880,2200,3080
Dadar C,12,2014,34,4,25,9,24,10,CR,Interchange,3520,290,3170,300,3520,300,3565,300,3565,350,220,3300,3520
Parel,13,2014,41,3,37,4,31,10,CR,Slow,3740,290,3610,300,3740,300,3785,300,3785,350,440,3300,3740
Curry Road,14,2014,0,0,0,0,0,0,CR,Slow,3960,290,3830,300,3960,300,4050,300,4050,300,660,3300,3960
Chinchpokli,15,2014,3,1,2,1,3,0,CR,Slow,4180,290,4050,300,4180,300,4270,300,4270,300,880,3300,4180
Byculla,16,2014,30,3,26,4,22,8,CR,Fast,4620,290,4270,300,4620,300,4885,300,4885,0,220,4400,4620
Sandhurst Road,17,2014,0,0,0,0,0,0,CR,Slow,4840,290,4710,300,4840,300,4930,305,5810,305,440,4400,4840
Masjid,18,2014,1,0,1,0,1,0,CR,Slow,5720,290,4930,300,5720,300,5810,305,6030,305,220,5500,5720
CST Mumbai,19,2014,103,0,73,30,69,34,CR,Interchange,5940,290,5810,300,5940,300,6030,300,6030,300,440,5500,5940
Andheri,1,2014,112,10,101,11,-1,-1,WR,Interchange,1540,340,0,350,1540,350,1630,355,1760,355,440,1100,1540
Vile Parle,2,2014,75,11,67,8,-1,-1,WR,Slow,1760,340,1630,350,1760,350,1850,355,1980,355,660,1100,1760
Santacruz,3,2014,42,7,37,5,-1,-1,WR,Slow,1980,340,1850,350,1980,350,2070,355,2420,355,880,1100,1980
Khar,4,2014,53,6,48,5,-1,-1,WR,Slow,2420,340,2070,350,2420,350,2510,355,2640,355,220,2200,2420
Bandra,5,2014,96,10,82,14,-1,-1,WR,Interchange,2640,340,2510,350,2640,350,2685,355,2685,0,440,2200,2640
Mahim,6,2014,79,22,72,7,-1,-1,WR,Slow,2860,340,2730,350,2860,350,2950,350,2950,350,660,2200,2860
Matunga Road,7,2014,23,1,19,4,-1,-1,WR,Slow,3080,340,2950,350,3080,350,3170,350,3170,350,880,2200,3080
Dadar W,8,2014,61,7,50,11,-1,-1,WR,Interchange,3520,340,3170,350,3520,350,3610,350,3610,350,220,3300,3520
Elphinstone Road,9,2014,28,9,26,2,-1,-1,WR,Slow,3740,340,3610,350,3740,350,3830,350,3830,350,440,3300,3740
Lower Parel,10,2014,37,10,33,4,-1,-1,WR,Slow,3960,340,3830,350,3960,350,4050,350,4050,350,660,3300,3960
Mahalaxmi,11,2014,32,4,26,6,-1,-1,WR,Slow,4180,340,4050,350,4180,350,4270,350,4270,350,880,3300,4180
Mumbai Central,12,2014,70,6,63,7,-1,-1,WR,Slow,4620,340,4270,350,4620,350,4710,350,4710,350,220,4400,4620
Grant Road,13,2014,29,7,26,3,-1,-1,WR,Fast,4840,340,4710,350,4840,350,4930,350,4930,350,440,4400,4840
Charni Road,14,2014,27,8,25,2,-1,-1,WR,Slow,5060,340,4930,350,5060,350,5150,350,5150,350,660,4400,5060
Marine Lines,15,2014,31,4,28,3,-1,-1,WR,Slow,5280,340,5150,350,5280,350,5370,350,5370,350,880,4400,5280
Churchgate,16,2014,40,0,36,4,-1,-1,WR,Interchange,5720,340,5370,350,5720,350,5810,350,5810,350,220,5500,5720
